Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,City,Status,Resolution Description,Borough
31015465,7/6/2015 10:58,7/22/2015 1:07,DCA,Department of Consumer Affairs,Consumer Complaint,Demand for Cash,,11360,27-16 203 STREET,BAYSIDE,Closed,"The Department of Consumer Affairs mailed you a complaint form. If you received the form and have not yet completed it, please do so. Be sure to follow the instructions on the form and return it to DCA with all required documentation.     311 can assist those who have not received the complaint form by creating a new Service Request. Additionally, 311 can assist those who returned the form but want to inquire about the status of the filed complaint.",QUEENS
30997660,7/3/2015 13:26,7/3/2015 14:08,NYPD,New York City Police Department,Vending,In Prohibited Area,Residential Building/House,10019,200 CENTRAL PARK SOUTH,NEW YORK,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,MANHATTAN
31950223,11/9/2015 3:55,11/9/2015 8:08,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10453,1993 GRAND AVENUE,BRONX,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,BRONX
31000038,7/3/2015 2:18,7/3/2015 7:54,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11372,84-16 NORTHERN BOULEVARD,JACKSON HEIGHTS,Closed,The Police Department responded to the complaint and took action to fix the condition.,QUEENS
30995614,7/4/2015 0:03,7/4/2015 3:33,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11216,1057 BERGEN STREET,BROOKLYN,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,BROOKLYN
31042454,7/9/2015 0:00,7/20/2015 0:00,DOHMH,Department of Health and Mental Hygiene,Standing Water,Other - Explain Below,Other,,,,Closed,The Department of Health and Mental Hygiene will review this Service Request. These types of complaints usually result in agency contact or an inspection. Status will be available at www.nyc.gov/311 within 30 days of the date you submitted the request. Note the Service Request number for future reference.,QUEENS
31043076,7/9/2015 12:04,,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,10469,3344 PEARSALL AVENUE,BRONX,Open,The Department of Parks and Recreation usually requires 30 days to inspect this type of complaint. Please note your Service Request number for future reference.,BRONX
31037751,7/9/2015 0:00,,DOHMH,Department of Health and Mental Hygiene,Standing Water,Puddle in Ground,3+ Family Apartment Building,10016,379 THIRD AVENUE,NEW YORK,Open,The Department of Health and Mental Hygiene will review this Service Request. These types of complaints usually result in agency contact or an inspection. Status will be available at www.nyc.gov/311 within 30 days of the date you submitted the request. Note the Service Request number for future reference.,MANHATTAN
31298553,8/12/2015 11:09,8/28/2015 1:06,DCA,Department of Consumer Affairs,Consumer Complaint,Damaged/Defective Goods,,11420,127-19 111 AVENUE,SOUTH OZONE PARK,Closed,"The Department of Consumer Affairs mailed you a complaint form. If you received the form and have not yet completed it, please do so. Be sure to follow the instructions on the form and return it to DCA with all required documentation.     311 can assist those who have not received the complaint form by creating a new Service Request. Additionally, 311 can assist those who returned the form but want to inquire about the status of the filed complaint.",QUEENS
31492526,9/9/2015 21:59,9/9/2015 23:17,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11238,238 SAINT JAMES PLACE,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,BROOKLYN
31495596,9/9/2015 12:12,12/15/2015 14:07,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Power/Phone Lines,Street,11412,197-16 LINDEN BOULEVARD,SAINT ALBANS,Closed,No action was taken because the Department of Parks and Recreation determined that the issue is out of its jurisdiction.,QUEENS
31593923,9/22/2015 13:50,,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Affecting Sewer or Foundation,Street,11413,139-02 SOUTHGATE PLAZA,SPRINGFIELD GARDENS,Open,The Department of Parks and Recreation usually requires 30 days to inspect this type of complaint and may take up to 90 days to resolve it. Please note your Service Request number for future reference.,QUEENS
31593417,9/22/2015 13:12,9/25/2015 11:20,DOB,DOB Inspections - Queens,Construction,Initial - Construction,Street Address,11692,158 SEA GRASS LANE,ARVERNE,Closed,The Department of Buildings contacted you and scheduled an inspection. See Notes to Customer for more details.,QUEENS
31593599,9/22/2015 15:07,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Power/Phone Lines,Street,11001,86-15 262 STREET,FLORAL PARK,Open,The Department of Parks and Recreation usually requires 10 days to review a request and determine the appropriate action. Please note your Service Request number for future reference.,QUEENS
30502370,4/28/2015 18:26,4/28/2015 19:29,NYPD,New York City Police Department,Noise - Commercial,Car/Truck Music,Store/Commercial,10035,1911 MADISON AVENUE,NEW YORK,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,MANHATTAN
30498881,4/28/2015 17:54,10/8/2015 16:30,DOT,Department of Transportation,Street Condition,Line/Marking - Faded,Street,11420,,SOUTH OZONE PARK,Closed,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",QUEENS
31524474,9/13/2015 13:35,9/13/2015 22:02,NYPD,New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,11249,84 SOUTH 10 STREET,BROOKLYN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,BROOKLYN
31527345,9/13/2015 21:04,9/14/2015 1:51,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10461,2443 POPLAR STREET,BRONX,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,BRONX
31006258,7/4/2015 16:57,9/3/2015 6:26,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Food Contaminated,Restaurant/Bar/Deli/Bakery,10024,519 COLUMBUS AVENUE,NEW YORK,Closed,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",MANHATTAN
30668699,5/21/2015 19:01,5/21/2015 21:56,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10026,8 WEST 111 STREET,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,MANHATTAN
31060994,7/13/2015 1:14,7/13/2015 7:20,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11229,2365 EAST 13 STREET,BROOKLYN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,BROOKLYN
